,Text,Language
0,ฉันรักเมืองไทยมาก,Thai
1,เขากำลังอ่านหนังสือ,Thai
2,วันนี้อากาศดีมาก,Thai
3,คุณชื่ออะไร,Thai
4,ฉันกำลังเรียนภาษาไทย,Thai
5,เมื่อวานนี้ฝนตกหนัก,Thai
6,คุณมาจากประเทศอะไร,Thai
7,ฉันกินข้าวแล้ว,Thai
8,โรงเรียนจะเปิดภาคเรียนใหม่เดือนหน้า,Thai
9,เขาเป็นครูสอนภาษาอังกฤษ,Thai
10,ผมอยากไปเที่ยวทะเล,Thai
11,เธอกำลังทำอาหาร,Thai
12,ฉันมีน้องชายหนึ่งคน,Thai
13,เขาจะมาพรุ่งนี้,Thai
14,วันนี้คุณไปไหนมา,Thai
15,ฉันกำลังฟังเพลง,Thai
16,เขาเป็นเพื่อนที่ดีที่สุดของฉัน,Thai
17,คุณชอบกินผลไม้อะไร,Thai
18,เราจะไปดูหนังกันคืนนี้,Thai
19,ฉันอยากกินไอศกรีม,Thai
20,คุณเรียนจบเมื่อไหร่,Thai
21,เมื่อวานนี้ฉันได้เจอเพื่อนเก่า,Thai
22,เขาชอบดูทีวีมาก,Thai
23,คุณทำงานที่ไหน,Thai
24,ฉันลืมกุญแจไว้ในรถ,Thai
25,วันนี้ฉันเหนื่อยมาก,Thai
26,ตอนเช้าแดดแรงมาก,Thai
27,คุณจะไปไหนพรุ่งนี้,Thai
28,เขามาสายเสมอ,Thai
29,ฉันชอบดื่มกาแฟ,Thai
30,คุณกำลังทำอะไรอยู่,Thai
31,ฉันไปเที่ยวเชียงใหม่เมื่อเดือนที่แล้ว,Thai
32,เราควรออกกำลังกายทุกวัน,Thai
33,คุณเคยไปญี่ปุ่นไหม,Thai
34,เมื่อคืนฝันดีมาก,Thai
35,พรุ่งนี้เราจะไปกินข้าวด้วยกัน,Thai
36,คุณเห็นแมวของฉันไหม,Thai
37,ฉันชอบอ่านหนังสือก่อนนอน,Thai
38,ฉันชอบดูหนังแนวตลก,Thai
39,เขากำลังวาดรูปอยู่,Thai
