,Text,Language
0,私は昨日、映画を見ました。,Japanese
1,明日は雨が降るかもしれません。,Japanese
2,この本はとても面白いです。,Japanese
3,彼女は毎朝ジョギングをします。,Japanese
4,富士山は日本で一番高い山です。,Japanese
5,新幹線は速くて便利です。,Japanese
6,私の趣味は料理です。,Japanese
7,今日はとても暑いですね。,Japanese
8,彼はギターが上手です。,Japanese
9,先週、京都に行きました。,Japanese
10,昼ごはんにラーメンを食べました。,Japanese
11,東京にはたくさんの人がいます。,Japanese
12,この問題はとても難しいです。,Japanese
13,猫が好きですか？,Japanese
14,冬休みにスキーをする予定です。,Japanese
15,彼女は日本語を勉強しています。,Japanese
16,私たちは毎週土曜日にサッカーをします。,Japanese
17,この町は静かで美しいです。,Japanese
18,来月、友達と旅行に行きます。,Japanese
19,駅で友達を待っています。,Japanese
20,テストの準備はできましたか？,Japanese
21,彼はフランス料理が得意です。,Japanese
22,朝早く起きるのは苦手です。,Japanese
23,この映画は感動しました。,Japanese
24,誕生日に新しいカメラをもらいました。,Japanese
25,電車で本を読むのが好きです。,Japanese
26,昨日、海に行きました。,Japanese
27,彼女は犬が好きです。,Japanese
28,公園で散歩するのが楽しいです。,Japanese
29,毎晩、日記を書いています。,Japanese
30,夏休みはどこに行く予定ですか？,Japanese
31,電話が鳴っています。,Japanese
32,この料理は辛いですが、美味しいです。,Japanese
33,彼は映画を見るのが好きです。,Japanese
34,家族で旅行するのが楽しみです。,Japanese
35,毎日、コーヒーを飲みます。,Japanese
36,この町には歴史的な建物が多いです。,Japanese
37,来週、友達に会います。,Japanese
38,彼女はピアノを弾くのが上手です。,Japanese
39,私の家は駅から遠いです。,Japanese
40,明日、買い物に行きます。,Japanese
41,この電車は新宿に行きますか？,Japanese
42,私は夏が好きです。,Japanese
43,週末に映画を見に行きます。,Japanese
44,彼は毎日、仕事に行きます。,Japanese
45,彼女はとても親切な人です。,Japanese
46,新しいカフェがオープンしました。,Japanese
47,今夜は星がきれいに見えます。,Japanese
48,明日は忙しいですか？,Japanese
49,昨日、新しい本を買いました。,Japanese
50,駅までどのくらいかかりますか？,Japanese
51,毎週日曜日に公園に行きます。,Japanese
52,彼は自転車で学校に通っています。,Japanese
53,友達と一緒に夕食を食べました。,Japanese
54,来年、海外旅行に行く予定です。,Japanese
55,昨夜は雨が降っていました。,Japanese
56,日本にはたくさんの美しい場所があります。,Japanese
57,彼女は毎朝、新聞を読みます。,Japanese
58,私はコーヒーより紅茶が好きです。,Japanese
59,友達が家に遊びに来ました。,Japanese
60,彼は日本語の勉強を続けています。,Japanese
61,夏は海で泳ぐのが好きです。,Japanese
62,来週、試験があります。,Japanese
63,今、何をしていますか？,Japanese
64,彼はとても背が高いです。,Japanese
65,私は車を持っていません。,Japanese
66,今日は何曜日ですか？,Japanese
67,彼女は学校の先生です。,Japanese
68,私は本を読むのが好きです。,Japanese
69,昨日は友達とカラオケに行きました。,Japanese
70,このレストランはとても人気があります。,Japanese
71,彼はテニスが得意です。,Japanese
72,冬は寒いですが、雪がきれいです。,Japanese
73,今日、宿題をしましたか？,Japanese
74,週末は映画を見たり、本を読んだりします。,Japanese
75,彼女は絵を描くのが得意です。,Japanese
76,仕事が終わったら、飲みに行きますか？,Japanese
77,この場所はとても静かで落ち着きます。,Japanese
78,私は朝食にパンを食べました。,Japanese
79,彼女はスポーツが好きです。,Japanese
80,今年の夏はとても暑かったです。,Japanese
81,電話をかけてもいいですか？,Japanese
82,今日は早く寝るつもりです。,Japanese
83,彼は英語を教えています。,Japanese
84,私たちは毎朝ジョギングをしています。,Japanese
85,彼女は歌が上手です。,Japanese
86,昨日、友達と映画を見ました。,Japanese
87,この本は面白くて、あっという間に読み終わりました。,Japanese
88,家族と一緒に旅行するのが楽しみです。,Japanese
89,来週の会議はいつですか？,Japanese
90,彼はピアノを弾くのが上手です。,Japanese
91,天気が良ければ、公園に行きましょう。,Japanese
92,昨夜は星がきれいに見えました。,Japanese
93,彼女は犬を飼っています。,Japanese
94,今日はとても寒いです。,Japanese
95,彼は自転車で通勤しています。,Japanese
96,夏休みはどこに行きましたか？,Japanese
97,昨日、新しい靴を買いました。,Japanese
98,彼女は猫が好きです。,Japanese
99,週末に映画を見に行く予定です。,Japanese
100,今日の天気は晴れです。,Japanese
101,彼は毎晩テレビを見ています。,Japanese
102,私は日本の文化に興味があります。,Japanese
103,昼食はサンドイッチを食べました。,Japanese
104,彼女はよく散歩をします。,Japanese
105,このレストランの料理は美味しいです。,Japanese
106,夏にはアイスクリームをよく食べます。,Japanese
107,明日、映画館に行く予定です。,Japanese
108,彼は新しい仕事を始めました。,Japanese
109,この電車はどこ行きですか？,Japanese
110,今日は宿題がたくさんあります。,Japanese
111,彼女は本をたくさん持っています。,Japanese
112,昨日、新しい友達ができました。,Japanese
113,私はいつも朝ごはんを食べます。,Japanese
114,週末に旅行に行きました。,Japanese
115,この映画は長かったですが、面白かったです。,Japanese
116,私はテニスが好きです。,Japanese
117,彼は料理が得意です。,Japanese
118,この問題は簡単ですか？,Japanese
119,今日はとても疲れました。,Japanese
120,友達と一緒にカフェに行きました。,Japanese
121,彼女は日本に住んでいます。,Japanese
122,このケーキは甘くて美味しいです。,Japanese
123,私はサッカーをするのが好きです。,Japanese
124,彼は今、出かけています。,Japanese
125,明日は学校に行きません。,Japanese
126,このバスは駅に行きますか？,Japanese
127,彼女は来週、試験があります。,Japanese
128,冬は寒いですが、雪を見るのが好きです。,Japanese
129,この映画は怖かったです。,Japanese
130,彼は新しい車を買いました。,Japanese
131,今日は何をしますか？,Japanese
132,私は来年、大学に行く予定です。,Japanese
133,彼女は毎日、電車で通勤しています。,Japanese
134,私は犬を飼いたいです。,Japanese
135,昨日は友達と食事をしました。,Japanese
136,今日はとても忙しいです。,Japanese
137,この場所はとても静かです。,Japanese
138,彼女は週末に買い物をします。,Japanese
139,私は本を読むのが好きです。,Japanese
140,この公園は大きくてきれいです。,Japanese
141,彼は日本語を話します。,Japanese
142,夏休みに海に行きました。,Japanese
143,私は友達と一緒に映画を見ました。,Japanese
144,彼女は家で料理をしています。,Japanese
145,このレストランは人気がありますか？,Japanese
146,今日、仕事がたくさんあります。,Japanese
147,彼はバスで学校に行きます。,Japanese
148,彼女は新しい仕事を探しています。,Japanese
149,昨夜、雨が降っていました。,Japanese
150,私は音楽を聴くのが好きです。,Japanese
151,この町には美しい景色があります。,Japanese
152,彼は毎日、ジムに行きます。,Japanese
153,彼女は日本の歴史に詳しいです。,Japanese
154,昨日、図書館で本を借りました。,Japanese
155,私は明日、映画を見に行きます。,Japanese
156,彼は英語を勉強しています。,Japanese
157,今日は休みなので、家でのんびりします。,Japanese
158,私は新しいカメラを買いました。,Japanese
159,彼女はフランスに住んでいます。,Japanese
160,この町には美味しいレストランがたくさんあります。,Japanese
161,私は毎晩、日記を書いています。,Japanese
162,友達と一緒に旅行に行く予定です。,Japanese
163,この問題は簡単ではありません。,Japanese
164,彼女は学校で英語を教えています。,Japanese
165,私は朝、コーヒーを飲みます。,Japanese
166,昨日はとても寒かったです。,Japanese
167,彼は大学で勉強しています。,Japanese
168,このケーキは甘すぎます。,Japanese
169,私たちは昨日、山に登りました。,Japanese
170,彼女はギターを弾くのが得意です。,Japanese
171,私は新しい趣味を始めました。,Japanese
172,この映画はつまらなかったです。,Japanese
173,彼は友達に会うために東京に行きました。,Japanese
174,私は明日、早く起きます。,Japanese
175,彼女は今、家で仕事をしています。,Japanese
176,この電車はどこに行きますか？,Japanese
177,私は写真を撮るのが好きです。,Japanese
178,昨日、友達と一緒にカフェに行きました。,Japanese
179,彼女は日本語を話すことができます。,Japanese
180,この料理は美味しいですが、少し辛いです。,Japanese
181,彼は新しい自転車を買いました。,Japanese
182,私は毎朝、新聞を読みます。,Japanese
