,Text,Language
0,"Тази сутрин, докато се приготвях за работа, осъзнах, че съм забравил ключовете си на кухненската маса.",Bulgarian
1,"След дълга разходка из парка, решихме да седнем на една пейка и да обсъдим плановете си за уикенда.",Bulgarian
2,"Когато бях дете, прекарвах лятната ваканция на село, където помагах на баба и дядо в градината.",Bulgarian
3,"Въпреки че времето беше дъждовно, решихме да отидем на пикник в планината и да се насладим на чистия въздух.",Bulgarian
4,"Вчера вечерта, докато гледахме филм, токът изведнъж спря и трябваше да седим на тъмно повече от час.",Bulgarian
5,"Винаги съм мечтал да пътувам по света и да посещавам различни култури и страни, за да науча повече за тяхната история и традиции.",Bulgarian
6,"Когато пристигнахме на летището, разбрахме, че полетът ни е закъснял с повече от два часа поради лошото време.",Bulgarian
7,"Въпреки че не беше планирано, спонтанно решихме да се срещнем с приятели и да отидем на концерт в центъра на града.",Bulgarian
8,"Много ми харесва да чета книги за историята на България, защото те ми дават нова перспектива за събитията, които са формирали нашата страна.",Bulgarian
9,"Днес, след като завърших задачите си в офиса, реших да се разходя по крайбрежната алея и да се насладя на залеза.",Bulgarian
10,"Ако имаше възможност да избереш къде да живееш, би ли предпочел голям град или малко село?",Bulgarian
11,"След като прекарахме няколко часа в музея, решихме да се разходим из стария град и да опитаме местните специалитети.",Bulgarian
12,"Всяка година, когато настъпи лятото, обичам да отида на море и да се отпусна на плажа с книга в ръка.",Bulgarian
13,"Вчера получих покана за сватбата на моя най-добър приятел, която ще се състои следващия месец.",Bulgarian
14,"Докато се разхождахме из гората, случайно намерихме малка поляна, където решихме да спрем за кратка почивка.",Bulgarian
15,"През зимата, когато завали сняг, обичам да се кача в планината и да карам ски с приятелите си.",Bulgarian
16,"Въпреки че бяхме уморени от дългото пътуване, решихме да се разходим из новия град и да разгледаме забележителностите.",Bulgarian
17,"След като завършиш университета, какви са твоите планове за бъдещето и каква кариера искаш да избереш?",Bulgarian
18,"Вчера вечерта, когато се прибрах вкъщи, открих, че котката ми е съборила ваза с цветя и водата е навсякъде.",Bulgarian
19,Един от най-добрите начини да се отпуснеш след тежък работен ден е да отидеш на разходка сред природата.,Bulgarian
