,Text,Language
0,ប្រទេសកម្ពុជា​គឺជា​ប្រទេស​មួយ​ដែល​មាន​បរិស្ថាន​ស្អាត និង​ចម្រូងចម្រាស់ ដែល​អាច​មើលឃើញ​ដូចជា​ព្រៃវែង​ស្រាល​ដែល​ពេញលេញ​ទៅដោយដំណាំ​នានា និង​ព្រៃដែក​កញ្ចក់។,Khmer
1,ទីក្រុង​ភ្នំពេញ​ជា​រដូវកាល​នៃ​ប្រទេសកម្ពុជា ដែល​មាន​ការ​ចម្រូងចម្រាស់​នៃវប្បធម៌ និង​ប្រវត្តិសាស្ត្រ ដោយមាន​គេហទំព័រ​នានា​ដែល​ល្បីល្បាញ។,Khmer
2,ខ្មែរ​ជា​ជាតិ​នៃ​គ្រិស្តសាសន៍ ដែល​មាន​ប្រពៃណី​បរិយាយ​រួមទាំង​ភាព​ស្មុគស្មាញ និងភាពសាមញ្ញក្នុងការទទួលស្គាល់នៃអត្តសញ្ញាណ។,Khmer
3,ពួកយើង​គួរត្រូវការពាក់ព័ន្ធ និងយល់ដឹងអំពីវប្បធម៌ និងប្រវត្តិសាស្ត្រពីរទេសដទៃ ដើម្បីអាចអភិវឌ្ឍន៍កម្រិតកម្រិតវប្បធម៌របស់ខ្លួន។,Khmer
4,កម្ពុជា​មាន​មហាសមុទ្រ​កំពូល ហើយ​មិនអាចរំលងបាន​នូវអារ៉ាណព្រះសមុទ្រ​នៅក្នុង​ការអភិវឌ្ឍន៍​ទីភ្នាក់ងារ​នៃ​អាជីពកីឡា។,Khmer
5,"ការទស្សនាប្រាសាទអង្គរ ដែល​គេ​ដាក់​ឈ្មោះថា ""ប្រាសាទអង្គរ វត្ត"" គឺជាការកំសាន្តពិសេស​ដែលល្បីល្បាញនៅកម្ពុជា។",Khmer
6,ភាពសម្បូរបែបនៃចំណីអាហារខ្មែរនៅក្នុងប្រទេសកម្ពុជាជាផ្នែកសំខាន់ដែលអាចចេញផ្សាយការសម្តែងនិងទំនាក់ទំនងសង្គម។,Khmer
7,ខ្មែរ​មាន​ប្រពៃណី​បច្ចេកទេស​ស្នាដៃដែលបានបញ្ជាក់ពីជីវិតប្រចាំថ្ងៃរបស់ពួកគេ ដូចជា​ការបោះពុម្ពក្រឡាប់ និងការតាក់តែងបង្ហាញខាងមុខ។,Khmer
8,សង្គមខ្មែរក៏មានវប្បធម៌សាសនា​ដោយជាពិសេសឱ្យមានការកសាងមូលដ្ឋាន​នៃសិល្បៈដែលមានមេរៀនវប្បធម៌​ខ្មែរចាស់។,Khmer
9,ការប្រឡងកម្រិតដ៏ខ្ពស់ និងភាពយន្តឬគ្នានៅកម្ពុជា ជាភាសាដែលមានចំណេះដឹងអាជីពរៀនឬមិនបាន។,Khmer
10,ប្រពៃណីអាហារខ្មែរនេះមានជាតិចម្បងដូចជា​អំពិល​ឬ​ស្ករស្រូបដែលត្រូវបានសង្កត់ក្នុងកម្មវិធីចំអិនជាតិកម្ពុជា។,Khmer
