,Text,Language
0,Astăzi este o zi frumoasă.,Romanian
1,Mâine voi merge la școală.,Romanian
2,Cât e ceasul acum?,Romanian
3,Îmi place foarte mult să citesc.,Romanian
4,Am fost la mare vara trecută.,Romanian
5,Cine este cel mai bun prieten al tău?,Romanian
6,Acesta este un câine foarte drăguț.,Romanian
7,Îmi place să ascult muzică seara.,Romanian
8,Unde te-ai născut?,Romanian
9,Ai învățat pentru examen?,Romanian
10,Am uitat cheile acasă.,Romanian
11,Ce faci în weekend?,Romanian
12,Mergem la film în această seară?,Romanian
13,Câți ani ai?,Romanian
14,Ai vrea să bem o cafea împreună?,Romanian
15,"Mi-e foame, ce mâncăm?",Romanian
16,Azi dimineață m-am trezit devreme.,Romanian
17,Ai văzut ultimul episod din serial?,Romanian
18,Vremea e foarte caldă astăzi.,Romanian
19,Am o carte pe care vreau să ți-o arăt.,Romanian
20,Locuiești în oraș sau la țară?,Romanian
21,Acesta este fratele meu mai mic.,Romanian
22,"Când ai timp liber, ce faci?",Romanian
23,Azi e ziua de naștere a mamei mele.,Romanian
24,Te-ai hotărât unde vrei să pleci în vacanță?,Romanian
25,Cât de departe este plaja de aici?,Romanian
26,Ne vedem mâine dimineață la cafenea.,Romanian
27,Cum a fost excursia la munte?,Romanian
28,Îmi place să merg la pescuit.,Romanian
29,Mâine trebuie să mă trezesc devreme.,Romanian
30,Ai terminat temele pentru azi?,Romanian
31,Ce fel de filme îți plac?,Romanian
32,Anul acesta vreau să învăț o limbă nouă.,Romanian
33,A fost o experiență interesantă.,Romanian
34,Care este mâncarea ta preferată?,Romanian
35,Când e următoarea vacanță?,Romanian
36,Astăzi este foarte mult de lucru.,Romanian
37,Ai auzit despre noul proiect?,Romanian
38,Câți membri are familia ta?,Romanian
39,Îmi place să alerg dimineața.,Romanian
40,Ai văzut noul film de acțiune?,Romanian
41,A plouat toată ziua ieri.,Romanian
42,Unde ai fost plecat weekend-ul trecut?,Romanian
43,Am întâlnit o persoană foarte interesantă.,Romanian
44,În ce clasă ești acum?,Romanian
45,Ai timp să ne vedem săptămâna viitoare?,Romanian
46,Cum este vremea la tine?,Romanian
47,Ieri am avut o zi foarte aglomerată.,Romanian
48,Acesta este locul meu de muncă.,Romanian
49,Am fost la un concert minunat aseară.,Romanian
50,Cât de departe este stația de autobuz?,Romanian
